Year,State,Data Value
2007,Arizona,6390266
2007,California,39957597
2007,Colorado,6009074
2007,Connecticut,2664364
2007,Delaware,914351
2007,Florida,19437665
2007,Iowa,2729866
2007,Kansas,2703485
2007,Kentucky,4532689
2007,Louisiana,4908337
2007,Maine,661201
2007,Maryland,5157529
2007,Massachusetts,8416200
2007,Minnesota,4236512
2007,Missouri,5002567
2007,New Hampshire,855326
2007,New Jersey,9016086
2007,New Mexico,1800246
2007,New York,16463713
2007,Oregon,3767939
2007,Pennsylvania,10781384
2007,Rhode Island,1014049
2007,South Carolina,3595479
2007,Utah,2698232
2007,Vermont,443471
2007,Washington,5576823
2007,West Virginia,1340792
2007,Wisconsin,3991613
