Year,State,Data Value
2012,Arizona,6399534
2012,California,41012626
2012,Colorado,5220316
2012,Connecticut,2673185
2012,Delaware,887669
2012,Florida,19326390
2012,Iowa,2721205
2012,Kansas,2704465
2012,Kentucky,4552037
2012,Louisiana,3856810
2012,Maine,663618
2012,Maryland,5271294
2012,Massachusetts,8879989
2012,Michigan,7557005
2012,Minnesota,4269859
2012,Missouri,5048460
2012,Nebraska,1592302
2012,New Hampshire,858671
2012,New Jersey,9013555
2012,New Mexico,1834886
2012,New York,18210792
2012,North Carolina,8135150
2012,Oregon,3969674
2012,Pennsylvania,10651615
2012,Rhode Island,1024136
2012,South Carolina,3708533
2012,Utah,2739668
2012,Vermont,446168
2012,Washington,5912722
2012,West Virginia,1350452
2012,Wisconsin,4050454
