Year,State,Data Value
2002,California,36427824
2002,Colorado,6009119
2002,Connecticut,2664364
2002,Delaware,937283
2002,Florida,20264025
2002,Iowa,2458129
2002,Kansas,2694110
2002,Kentucky,4532689
2002,Louisiana,4903536
2002,Maine,661201
2002,Maryland,5157529
2002,Massachusetts,8416200
2002,Minnesota,4235189
2002,Missouri,2710180
2002,New Hampshire,855301
2002,New Jersey,9016086
2002,New Mexico,1800319
2002,New York,16462983
2002,Oregon,3641445
2002,Pennsylvania,10781363
2002,Rhode Island,965000
2002,South Carolina,3342078
2002,Utah,2698502
2002,Vermont,443471
2002,Washington,5576823
2002,West Virginia,1215864
2002,Wisconsin,3991504
