Year,State,Data Value
2010,Arizona,6395258
2010,California,41032941
2010,Colorado,6009118
2010,Connecticut,2664364
2010,Delaware,917721
2010,Florida,19236835
2010,Iowa,2698490
2010,Kansas,2703999
2010,Kentucky,4532689
2010,Louisiana,4903924
2010,Maine,665484
2010,Maryland,5200014
2010,Massachusetts,8510788
2010,Minnesota,4236512
2010,Missouri,4670953
2010,New Hampshire,855359
2010,New Jersey,9016086
2010,New Mexico,1830248
2010,New York,18323940
2010,North Carolina,7891488
2010,Oregon,3792346
2010,Pennsylvania,10781463
2010,Rhode Island,916083
2010,South Carolina,3860152
2010,Utah,2698591
2010,Vermont,443471
2010,Washington,5576823
2010,West Virginia,1332530
2010,Wisconsin,3992228
