,Year,State,Annual Mean,Data Value,Radium
0,2001,California,1.6204751461988305,,0.951785714
1,2001,Colorado,1.1642918454935622,,8.624210526
2,2001,Connecticut,1.34,,2.193333333
3,2001,Florida,0.5700225861095427,,1.722045455
4,2001,Iowa,1.2021421107628003,,1.980992908
5,2001,Maine,0.6217329545454545,,1.7075
6,2001,Maryland,1.1504433497536946,,0.836666667
7,2001,Minnesota,0.6687440758293839,,3.530144928
8,2001,New York,1.0006796116504855,,1.943125
9,2001,Utah,0.9484735202492212,,0.930882353
10,2001,Washington,1.6292168674698795,,1.025
11,2001,West Virginia,1.8525,,1.8
12,2001,Wisconsin,1.2734662998624484,,4.729545455
13,2003,California,1.8941003948110546,,0.582941176
14,2003,Colorado,0.9799540581929556,,3.741595745
15,2003,Connecticut,1.2601875,,1.161860465
16,2003,Florida,0.6449119718309859,,0.662230823
17,2003,Iowa,1.1779935622317597,,1.357947269
18,2003,Kansas,2.8895590828924163,,0.975789474
19,2003,Kentucky,1.0386486486486486,,0.2
20,2003,Maine,0.6411363636363636,,1.206923077
21,2003,Maryland,1.0995544554455445,,0.327651007
22,2003,Minnesota,0.6342543352601157,,1.547438424
23,2003,Missouri,0.23652097902097902,,1.089085714
24,2003,New Hampshire,0.6233834586466165,,0.764213836
25,2003,New Jersey,1.3964097363083163,,3.5848
26,2003,New Mexico,1.0627840909090909,,3.435
27,2003,New York,0.9893296703296703,,1.650666667
28,2003,Oregon,0.9647592067988668,,1.058
29,2003,Rhode Island,1.0253125,,1.073846154
30,2003,Utah,0.8881944444444444,,1.240357143
31,2003,Vermont,0.5404347826086957,,0.540739437
32,2003,Washington,1.3442040413997043,,1.336666667
33,2003,West Virginia,0.6453951890034364,,0.535072464
34,2003,Wisconsin,1.3405289256198347,,1.245
35,2004,California,1.790740537575425,,2.89296875
36,2004,Colorado,0.9422372372372372,,2.461020408
37,2004,Connecticut,1.3067864271457086,,1.427868852
38,2004,Delaware,2.0767914438502673,,4.56
39,2004,Florida,0.6315402704291593,,1.093736264
40,2004,Iowa,1.1896466809421842,,3.035514019
41,2004,Kansas,2.857229129662522,,1.113362069
42,2004,Maine,0.6375910364145658,,5.046666667
43,2004,Maryland,1.164033816425121,,0.956521739
44,2004,Minnesota,0.622096956031567,,3.211111111
45,2004,Missouri,0.24046046915725455,,4.031014493
46,2004,New Hampshire,0.5985610200364299,,1.905512821
47,2004,New Jersey,1.4432038834951457,,1.700714286
48,2004,New Mexico,1.0635863377609107,,0.568352941
49,2004,New York,0.9626934673366834,,1.357076271
50,2004,Oregon,0.959478021978022,,0.303333333
51,2004,Rhode Island,1.0520967741935485,,0.738
52,2004,South Carolina,1.6600000000000001,,4.137142857
53,2004,Utah,0.9269086021505376,,0.790588235
54,2004,Vermont,0.5143596059113301,,1.388684211
55,2004,Washington,1.3614230396902225,,0.91125
56,2004,West Virginia,0.6318402777777777,,1.901428571
57,2004,Wisconsin,1.41076802507837,,3.495
58,2005,California,1.783175711982805,,0.733975904
59,2005,Colorado,0.9909171597633136,,2.983258427
60,2005,Connecticut,1.2520039682539683,,0.801568627
61,2005,Delaware,2.252864864864865,,2.81
62,2005,Florida,0.6179905437352247,,0.67704
63,2005,Iowa,1.2294822006472492,,2.743301887
64,2005,Kansas,2.6403180212014137,,1.236144578
65,2005,Kentucky,0.9321370967741935,,1.425
66,2005,Maine,0.618236914600551,,3.463333333
67,2005,Maryland,1.2347215496368038,,0.977
68,2005,Minnesota,0.6289911308203991,,2.193882353
69,2005,Missouri,0.24204028021015764,,2.258797468
70,2005,New Hampshire,0.6077959927140255,,1.050318471
71,2005,New Jersey,1.3671730769230768,,2.378831169
72,2005,New Mexico,1.0416477272727274,,0.760246305
73,2005,New York,1.0757637655417407,,1.243314286
74,2005,Oregon,0.9689495225102319,,0.837454545
75,2005,Rhode Island,1.1084375,,0.784285714
76,2005,South Carolina,0.5995260663507109,,1.559583333
77,2005,Utah,0.9087465940054495,,0.799655172
78,2005,Vermont,0.4978592375366569,,1.5552
79,2005,Washington,1.3656368821292777,,0.891111111
80,2005,West Virginia,0.7287417218543046,,0.887272727
81,2005,Wisconsin,1.7540697674418604,,4.26625
82,2006,Arizona,2.1049166666666665,,0.621639344
83,2006,California,1.8338853503184713,,0.709047619
84,2006,Colorado,0.9363037249283667,,2.918113208
85,2006,Connecticut,1.2158730158730158,,0.828060606
86,2006,Florida,0.6271668667466986,,0.741155116
87,2006,Iowa,1.1892282608695652,,2.538681319
88,2006,Kansas,2.677424511545293,,1.289009009
89,2006,Kentucky,0.9363709677419355,,0.45
90,2006,Maine,0.564792243767313,,1.71
91,2006,Maryland,1.1031678486997636,,1.060487805
92,2006,Minnesota,0.6550384193194292,,3.041067961
93,2006,Missouri,0.2216579861111111,,1.963653137
94,2006,New Hampshire,0.5438929889298894,,0.532526882
95,2006,New Jersey,1.3771428571428572,,1.754786325
96,2006,New Mexico,0.9732022471910113,,0.774896552
97,2006,New York,0.9558786346396966,,1.136899225
98,2006,Oregon,0.9732147937411094,,0.904807692
99,2006,Rhode Island,1.0346153846153847,,1.086
100,2006,South Carolina,0.5996618357487923,,2.382916667
101,2006,Utah,0.9629261363636363,,0.544375
102,2006,Vermont,0.4883855421686747,,2.871578947
103,2006,Washington,1.3582975679542202,,0.65
104,2006,West Virginia,0.6811627906976744,,1.228888889
105,2006,Wisconsin,1.2847121820615797,,2.676666667
106,2007,Arizona,2.0521764705882353,,0.3334
107,2007,California,1.8494330949948927,,0.653617021
108,2007,Colorado,0.947985401459854,,2.152164948
