Year,State,Data Value
2013,Arizona,6399564
2013,California,41174594
2013,Colorado,5261460
2013,Connecticut,2685610
2013,Delaware,887902
2013,Florida,19306431
2013,Iowa,2751937
2013,Kansas,2704490
2013,Kentucky,4585271
2013,Louisiana,4907885
2013,Maine,663756
2013,Maryland,5274390
2013,Massachusetts,8920510
2013,Michigan,7557005
2013,Minnesota,4323800
2013,Missouri,5247591
2013,Nebraska,1591813
2013,New Hampshire,859314
2013,New Jersey,9050329
2013,New Mexico,1833878
2013,New York,17209219
2013,North Carolina,8221516
2013,Oregon,3909962
2013,Pennsylvania,10644871
2013,Rhode Island,1034452
2013,South Carolina,3630722
2013,Utah,2795852
2013,Vermont,446994
2013,Washington,5982257
2013,West Virginia,1416293
2013,Wisconsin,4050643
