Year,State,Data Value
2005,California,42277601
2005,Colorado,6009074
2005,Connecticut,2664364
2005,Delaware,909416
2005,Florida,19878255
2005,Iowa,2744749
2005,Kansas,2712199
2005,Kentucky,4532689
2005,Louisiana,4904835
2005,Maine,661201
2005,Maryland,5157529
2005,Massachusetts,8416200
2005,Minnesota,4235269
2005,Missouri,2563407
2005,New Hampshire,855301
2005,New Jersey,9016086
2005,New Mexico,1800319
2005,New York,16463100
2005,Oregon,3740859
2005,Pennsylvania,10781438
2005,Rhode Island,1011622
2005,South Carolina,3467552
2005,Utah,2699427
2005,Vermont,443471
2005,Washington,5576823
2005,West Virginia,1350886
2005,Wisconsin,3991660
