Year,State,Data Value
2011,Arizona,6399145
2011,California,41029373
2011,Colorado,6009118
2011,Connecticut,2664364
2011,Delaware,918744
2011,Florida,19346681
2011,Iowa,2679229
2011,Kansas,2704465
2011,Kentucky,4532689
2011,Louisiana,4940915
2011,Maine,690431
2011,Maryland,5266738
2011,Massachusetts,8866615
2011,Minnesota,4274600
2011,Missouri,4534938
2011,New Hampshire,854254
2011,New Jersey,9013555
2011,New Mexico,1852763
2011,New York,18245848
2011,North Carolina,8058123
2011,Oregon,3815333
2011,Pennsylvania,10793463
2011,Rhode Island,1024077
2011,South Carolina,3795998
2011,Utah,2698958
2011,Vermont,443471
2011,Washington,5576823
2011,West Virginia,1322756
2011,Wisconsin,4024008
