Year,State,Data Value
2008,Arizona,6390688
2008,California,40192641
2008,Colorado,6009074
2008,Connecticut,2664364
2008,Delaware,916542
2008,Florida,19373219
2008,Iowa,2680509
2008,Kansas,2703760
2008,Kentucky,4532689
2008,Louisiana,4903817
2008,Maine,661226
2008,Maryland,5105475
2008,Massachusetts,8510074
2008,Minnesota,4236512
2008,Missouri,4153659
2008,New Hampshire,855326
2008,New Jersey,9016086
2008,New Mexico,1800246
2008,New York,16465069
2008,Oregon,3781419
2008,Pennsylvania,10781463
2008,Rhode Island,1013621
2008,South Carolina,3657664
2008,Utah,2698511
2008,Vermont,443471
2008,Washington,5576823
2008,West Virginia,1346806
2008,Wisconsin,3991540
