Year,State,Data Value
2004,California,42183613
2004,Colorado,6009119
2004,Connecticut,2664364
2004,Delaware,902891
2004,Florida,20169972
2004,Iowa,2733140
2004,Kansas,2712274
2004,Kentucky,4532689
2004,Louisiana,4914572
2004,Maine,661201
2004,Maryland,5157529
2004,Massachusetts,8416200
2004,Minnesota,4235269
2004,Missouri,4050592
2004,New Hampshire,855301
2004,New Jersey,9016086
2004,New Mexico,1800319
2004,New York,16463076
2004,Oregon,3660041
2004,Pennsylvania,10781486
2004,Rhode Island,1013779
2004,South Carolina,3381910
2004,Utah,2698477
2004,Vermont,443471
2004,Washington,5576823
2004,West Virginia,1330104
2004,Wisconsin,3991529
