Year,State,Data Value
2006,Arizona,6385743
2006,California,39678342
2006,Colorado,6009037
2006,Connecticut,2664364
2006,Delaware,910503
2006,Florida,19806925
2006,Iowa,2751614
2006,Kansas,2711681
2006,Kentucky,4532689
2006,Louisiana,4907913
2006,Maine,661201
2006,Maryland,5143306
2006,Massachusetts,8416200
2006,Minnesota,4235869
2006,Missouri,4532744
2006,New Hampshire,855301
2006,New Jersey,9016086
2006,New Mexico,1800319
2006,New York,16463498
2006,Oregon,3771485
2006,Pennsylvania,10781359
2006,Rhode Island,1011692
2006,South Carolina,3470882
2006,Utah,2698144
2006,Vermont,443471
2006,Washington,5576823
2006,West Virginia,1343481
2006,Wisconsin,3991605
