Year,State,Data Value
2003,California,42109090
2003,Colorado,6009119
2003,Connecticut,2664364
2003,Delaware,935612
2003,Florida,20160032
2003,Iowa,2494821
2003,Kansas,2714014
2003,Kentucky,4532689
2003,Louisiana,4903486
2003,Maine,661201
2003,Maryland,5157529
2003,Massachusetts,8416200
2003,Minnesota,4235189
2003,Missouri,3108234
2003,New Hampshire,855301
2003,New Jersey,9016086
2003,New Mexico,1800319
2003,New York,16463014
2003,Oregon,3617479
2003,Pennsylvania,10781411
2003,Rhode Island,859513
2003,South Carolina,3336995
2003,Utah,2698039
2003,Vermont,443471
2003,Washington,5576823
2003,West Virginia,1268653
2003,Wisconsin,3991544
