Year,State,Data Value
2001,California,35989579
2001,Colorado,6009037
2001,Connecticut,2664364
2001,Delaware,940010
2001,Florida,20386201
2001,Iowa,2349976
2001,Kansas,2694110
2001,Kentucky,4532689
2001,Louisiana,4904056
2001,Maine,661201
2001,Maryland,5157529
2001,Massachusetts,8416200
2001,Minnesota,4235189
2001,Missouri,2861506
2001,New Hampshire,855301
2001,New Jersey,9016086
2001,New Mexico,1800319
2001,New York,16460149
2001,Pennsylvania,10781363
2001,Rhode Island,863743
2001,South Carolina,3305781
2001,Utah,2698402
2001,Vermont,443471
2001,Washington,5576823
2001,West Virginia,714113
2001,Wisconsin,3991599
